conv1_filters,conv1_kernel,use_second_conv,dropout_rate,dense_units,lr,conv2_filters,conv2_kernel,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,param_id
40,3,True,0.2,128,0.0003420529471666411,40.0,3.0,20,7,1,1,0020,P00
16,3,True,0.2,48,0.00023034944966466038,40.0,3.0,20,0,0,0,,P01
56,3,False,0.2,96,0.0006047343855111446,8.0,3.0,20,7,2,2,0013,P02
16,3,True,0.1,64,0.0005136400921865536,32.0,3.0,20,0,0,0,,P03
40,3,True,0.2,128,0.0003420529471666411,40.0,3.0,7,0,1,0,,P04
32,5,True,0.30000000000000004,96,0.0014201534677904916,48.0,5.0,20,0,0,0,,P05
56,3,False,0.2,96,0.0006047343855111446,8.0,3.0,7,3,2,1,0001,P06
8,5,True,0.4,48,0.0001785607046695224,8.0,3.0,20,0,0,0,,P07
40,3,False,0.30000000000000004,16,0.0015577695321475488,64.0,3.0,7,3,2,1,0008,P08
16,3,True,0.5,80,0.0007370553076887802,16.0,5.0,7,3,2,1,0007,P09
40,3,False,0.5,80,0.003982162357170975,16.0,3.0,20,7,1,1,0023,P10
40,3,False,0.5,80,0.003982162357170975,16.0,3.0,7,0,1,0,,P11
40,3,False,0.30000000000000004,16,0.0015577695321475488,64.0,3.0,20,7,2,2,0012,P12
40,3,False,0.5,32,0.0012622943687455564,40.0,5.0,7,3,2,1,0010,P13
56,5,False,0.30000000000000004,32,0.0005889065040017682,40.0,3.0,7,0,1,0,,P14
64,5,False,0.2,112,0.00011566233044866663,64.0,3.0,7,0,1,0,,P15
32,3,False,0.1,48,0.00037359938308603773,8.0,5.0,7,0,1,0,,P16
16,5,False,0.4,112,0.0006784006182531716,56.0,3.0,7,0,1,0,,P17
40,3,False,0.30000000000000004,16,0.0015577695321475488,64.0,3.0,3,0,2,0,,P18
56,3,False,0.2,96,0.0006047343855111446,,,3,0,2,0,,P19
16,3,True,0.5,80,0.0007370553076887802,16.0,5.0,3,0,2,0,,P20
40,3,False,0.5,32,0.0012622943687455564,40.0,5.0,3,0,2,0,,P21
40,5,False,0.2,80,0.001395388438752399,40.0,5.0,3,0,2,0,,P22
24,5,True,0.30000000000000004,112,0.00022711317654957832,8.0,3.0,3,0,2,0,,P23
64,3,False,0.1,80,0.00013789509769484494,16.0,3.0,3,0,2,0,,P24
48,3,False,0.2,16,0.0006057735868771506,,,3,0,2,0,,P25
48,3,False,0.1,32,0.0002140450327746693,,,3,0,2,0,,P26
24,5,False,0.5,64,0.0029925267975241636,,,3,0,2,0,,P27
32,3,True,0.5,112,0.0048296228317513835,8.0,5.0,3,0,2,0,,P28
24,5,False,0.30000000000000004,96,0.006142253789595669,40.0,5.0,3,0,2,0,,P29
